Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
Prospections Archéologiques Sous-marines Aux Abords De Lîle De Gorée (Sénégal),Report,,None,2024-05-28,None,,,Groupe De Recherche En Archéologie Navale (GRAN) ; Laboratoire Dhistoire Et Darchéologie Maritime - Paris Iv Sorbonne - Musée De La Marine (FED 4124),,None,None,INFO-00000170,,https://hal.science/hal-01625693,,Unpublished PhD thesis,Guérout Max,None,None,None,None,2017-10-28,None,None,None,French,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-28,None,None,11b11bc1-303e-4895-8207-897d44a6b2d5
Premières Données Sur Le Matériel Céramique De La Nécropole Mégalithique De Wanar (Sénégal),,,,2024-05-28,,,,None,,,,INFO-00000171,,http://journals.openedition.org/aaa/641,,Journal article,Delvoye Adrien ; Laporte Luc ; Bocoum Hamady ; Cros Jean-paul ; Diallo Mahmoud ; Dartois Vincent ; Lejay Mathieu ; Quesnel Laurent ; Bertin Francis,,,,Afrique: Archeologie Et Arts,2011-12-15,,7,,,,73-92,,,,None,,,,,None,,,,,10. 4000/aaa. 641,2024-05-28,,,24f31bea-e37d-455a-a09c-e505d46fcd2c
Mégalithismes Sénégambiens Un Patrimoine Exceptionnel Sur Le Continent Africain. Recherches Archéologiques Sur Le Site De Wanar Mission De Coopération Entre La France Et Le Sénégal (2016-2019). Vol. Ix,Report,,None,2024-05-28,None,,,Ministère Des Affaires Etrangères ; Cnrs - Umr 6566 C re Aah,,None,None,INFO-00000172,,https://univ-rennes.hal.science/hal-02492316,,Unpublished PhD thesis,Laporte Luc ; Bocoum Hamady,None,None,None,None,2016-01-01,None,None,None,French,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-28,None,None,a3610580-6962-4479-beff-1643e3e8b83d
Les Groupes Culturels Du Néolithique Et De Lâge Du Fer Des Régions De Louga Thiès Et Saint-louis Sénégal (du VIème millénaire avant J. -C. au VIème siècle après J. -C. ): Approches Taphonomique Et Archéologique,Phdthesis,,None,2024-05-28,None,,,Université Panthéon-sorbonne - Paris i,,None,None,INFO-00000173,,https://theses.hal.science/tel-01124094,,Unpublished PhD thesis,Deschamps Sandrine,None,None,None,None,2013-03-22,None,None,None,French,,None,None,None,,None,None,None,None,None,None,,None,None,None,None,2024-05-28,None,None,2c9f7af5-7839-4ab5-91c0-0f77b5edf344
Les Amas Coquilliers De Mauritanie Occidentale Et Leur Contexte Paléoenvironnemental (VIIe-IIe millénaires BP),,,,2024-05-28,,,,None,,,,INFO-00000174,,http://journals.openedition.org/pm/111,,Journal article,Vernet Robert ; Tous Philippe,,,,Préhistoires Méditerranéennes,2004-01-10,,13,,,,55-69,,,,None,,,,,None,,,,,10. 4000/pm. 111,2024-05-28,,,1367de48-7513-4fe5-b4b1-9f3768d6d7b7
Le Site Mégalithique De Wanar (Sénégal): Note Préliminaire Sur Un Nouveau Programme De Coopération Entre La France Et Le Sénégal (2008-2011),,,,2024-05-28,,,,None,,,,INFO-00000175,,http://journals.openedition.org/aaa/827,,Journal article,Laporte Luc ; Bocoum Hamady ; Bernard Régis ; Bertin Francis ; Dartois Vincent ; Delvoye Adrien ; Diop Malik ; Kane Abdoulaye ; Quesnel Laurent,,,,Afrique: Archeologie Et Arts,2009-09-15,,5,,,,99-108,,,,None,,,,,None,,,,,10. 4000/aaa. 827,2024-05-28,,,97d99513-fef0-4a5b-8bad-4e5673b5343c
La Vallée De La Falémé (Sénégal oriental): Une Histoire Du Peuplement Aussi Ancienne Que Diversifiée.,,,,2024-05-28,None,,,None,,None,,INFO-00000176,,https://hal.science/hal-02536128,,Conference paper,Eric Huysecom ; Bocoum Hamady ; Katja Douze ; Ndiaye Matar ; Mayor Anne ; Rasse Michel ; Lespez Laurent ; Tribolo Chantal ; Hajdas Irka,,,None,None,2017-07-11,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-28,,None,2cd3fe57-388d-4041-987c-817c45d04c21
La Métallurgie Du Fer Au Sénégal: Approche Archéologique Technologique Et Historique,These De Doctorat,,None,2024-05-28,,,Licence Etalab,Paris 1,,,None,INFO-00000177,,https://theses.fr/1986PA010676,,Unpublished PhD thesis,Bocoum Hamady ; Devisse Jean,None,None,,None,1986-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2024-05-28,None,,feb67d8c-20b9-491f-ad96-3cfe8cefbca7
Milieux Hommes Et Techniques Dans La Vallée De La Kolimbiné (bassin supérieur du Sénégal Mali),,,,2024-05-28,None,,All Rights Reserved,None,,None,,INFO-00000178,,https://journals.openedition.org/nda/1013,,Journal article,Dupuy Christian,,,None,Les Nouvelles De Larchéologie,2010-09-01,,120-121,None,French,,81-86,,,,None,None,None,None,None,None,,None,None,,10. 4000/nda. 1013,2024-05-28,,None,83db4fd3-f4e2-4cb9-939f-a1c8b92cd0bf
Le Site Archéologique Du Khant (région de Saint-Louis du Sénégal): Nouveaux Éléments,,,,2024-05-28,None,,,None,,None,,INFO-00000179,,https://www.africabib.org/rec.phpRID=181074206,,Journal article,Mbow Marie-amy,,,None,Présence Africaine,1998-01-01,,158,None,English,,7-22,,,,None,None,None,None,None,None,,None,None,,None,2024-05-28,,None,48f3f4a5-1c9c-4af6-a3d2-d432177c8013
La Céramique Au Sénégal: Archéologie Et Histoire,These De Doctorat,,None,2024-05-28,,,Licence Etalab,Paris 1,,,None,INFO-00000180,,https://theses.fr/1991PA010531,,Unpublished PhD thesis,Thiam Mandiome ; Devisse Jean,None,None,,None,1991-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2024-05-28,None,,e9d43e81-97c4-4018-b69e-622db2e5c67f
Eléments Darchéologie Ouest-africaine,,,,2024-05-28,,,,Dara/irsh ; Criaa ; Sépia,,,,INFO-00000181,,None,,Book,None,,,,None,2000-01-01,,None,,,,None,,,,None,,,,,978-2-84280-050-5 978-2-84280-063-5,,,,,None,2024-05-28,,,4ddbc153-d091-4c57-bae5-dc591f151793
Contribution a Letude Des Amas Coquilliers Du Gandoul (DELTA DU SALOUM SENEGAL),,,,2024-05-28,None,,,Editions Universitaires E,,None,,INFO-00000182,,None,,Book,Diouf Michel Waly,,,None,None,2021-01-01,,None,None,French,,None,,,,None,None,None,None,None,978-620-3-41458-5,,None,None,,None,2024-05-28,,None,407da691-300e-4f95-83b9-c3c879414392
Fouilles En Pays Dogon Et Reconnaissance Archéologique Au Sénégal Oriental: La 14ème Année De Recherches Du Programme Peuplement Humain Et Paléoenvironnement En Afrique De L Ouest,,,,2024-05-28,None,,,None,,None,,INFO-00000183,,http://archive-ouverte.unige.ch:/unige:23032,,Journal article,Huysecom Eric ; Ozainne Sylvain ; Mayor Anne ; Jeanbourquin Chrystel ; Loukou Yao Serge Bonaventure ; Canetti Marie ; Ballouche Aziz ; Cantin Nadia ; Cissé Lassana ; Eichhorn Barbara ; Kahlheber Stefanie ; Rasse Michel ; Sanogo Kléna,,,None,Jahresbericht Slsa,2012-01-01,,None,None,French,,99,,,,2011,None,None,None,None,None,,None,None,,None,2024-07-26,,None,1d837388-f0f7-499c-b8b7-c9d76c1e0dfc
Évolutions Typo-technologiques Des Productions Céramiques De La Nécropole De Wanar (Sénégal): Démarche Archéologique Et Implications Anthropologiques.,,,,2024-05-28,,,,Archaeopress,,,,INFO-00000184,,https://hal.science/hal-03467270,,Book section,Delvoye A. ; Laporte Luc ; Bocoum Hamady,,,,Apport Des Approches Technologiques De La Céramique À Lanthropologie Et À Larchéologie Des Sociétés Pré Et Protohistoriques.,2021-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-28,,,6c469e63-511e-4f11-8b7a-e652ef4c1775
Enregistrements Sédimentaires Dans La Moyenne Vallée Du Bao Bolon (Sénégal). Première Esquisse Chronostratigraphique Holocène,,,,2024-05-28,,,,None,,,,INFO-00000185,,http://journals.openedition.org/quaternaire/11679,,Journal article,Stern Mathilde ; Ballouche Aziz ; Weisskopf Emmanuel ; Landry David ; Bocoum Hamady ; Laporte Luc,,,,Quaternaire,2019-06-01,,Vol. 30/2,,,,117-132,,,,None,,,,,None,,,,,10. 4000/quaternaire. 11679,2024-05-28,,,6f29b155-52c7-4485-9a16-dd4939288566
Deux Millénaires Ou Deux Siècles De Constructions Mégalithiques Au Sénégal Et En Gambie Nouvelles Dates Pour Wanar Et Révision Des Contextes Archéologiques,,,,2024-05-28,,,,None,,,,INFO-00000186,,http://journals.openedition.org/aaa/3804,,Journal article,Laporte Luc ; Lefèvre Jean-claude ; Ndiaye Matar ; Oberlin Christine ; Delvoye Adrien ; Stern Mathilde ; Faye Abdoul Kader ; Ballouche Aziz ; Cros Jean-paul ; Djouad Selim ; Quesnel Laurent,,,,Afrique: Archeologie Et Arts,2022-11-10,,18,,,,53-88,,,,None,,,,,None,,,,,10. 4000/aaa. 3804,2024-05-28,,,020ded29-6e38-42e2-ab60-b6cd48253c10
Dépôts Funéraires Et Pratiques Commémoratives,,,,2024-05-28,,,,Tautem,,,,INFO-00000187,,https://univ-tlse2.hal.science/hal-02425720,,Book section,Delvoye Adrien ; Bocoum Hamady ; Laporte Luc ; Armbruster Barbara ; Robion-brunner Caroline,,,,Paysages Mégalithiques Du Sénégal Et De La Gambie,2020-01-01,,None,,,,131-149,,,,None,,,,,None,,,,,None,2024-05-28,,,2725a055-d38c-4756-a278-55186160a6ca
Amas Et Sites Coquilliers Du Delta Du Saloum (Sénégal): Passé Et Présent,,,,2024-05-28,None,,,None,,None,,INFO-00000188,,https://linkinghub.elsevier.com/retrieve/pii/S0003552117300183,,Journal article,Camara Abdoulaye ; Hardy Karen ; Dioh Edmond ; Gueye Mathieu ; Piqué Raquel ; Carré Matthieu ; Sall Moustapha ; Diouf Michel Waly,,,None,L Anthropologie,2017-05-01,,1-2,None,French,,204-214,,,,121,None,None,None,None,None,,None,None,,10. 1016/j. anthro. 2017. 03. 018,2024-05-28,,None,dc4a86f1-0587-4cfb-9a5a-980ffbad2064
Ceramic Petrography and Actualism: a Contribution from Senegal,,,,2024-05-28,,,,None,,,,INFO-00000189,,https://hal.science/hal-01982354,,Conference paper,Cantin Nadia ; Mayor Anne,,,,Annual Meeting of the Ceramic Petrology Group (CPG),2018-11-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-28,,,8243fa60-c50f-4cbd-815f-c93ee09d9857
Accéder Au Passé Dune Région: Lexemple De La Culture Matérielle Des Sites Néolithiques Et Protohistoriques En Contexte Dunaire Au Sénégal,,,,2024-05-28,None,,,Editions La Découverte,,None,,INFO-00000190,,https://inrap.hal.science/hal-01959263,,Book section,Deschamps Sandrine,,,None,None,2012-01-01,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-05-28,,None,f16ba831-0754-450f-8676-e9cc2e2ce182
Kenya Coast Historical Sites and Monuments,,,,2024-05-27,,,,None,,,,INFO-00000191,,None,,Book section,Bwana o.,,,,The Lamu Workshop/conference Report,1978-01-01,,None,,,,21-27,,,,None,,,,,None,,,,,None,2024-05-27,,,15f87d66-92cf-466a-975f-524a02f438d9
On the Acheulean Site of Mtongwe Mombasa (Third preliminary report of African Studies; Archaeology),,,,2024-05-27,,,,Nagoya University Association for African Studies,,,,INFO-00000192,,None,,Book,Kato Y. ; Omi G. ; Adachi K.,,,,None,1977-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,008913d0-e58e-4c9a-9916-1183d66ec191
How Old is Mombasa: Recent Excavations at the Coast General Hospital Site,,,,2024-05-27,,,,None,,,,INFO-00000193,,None,,Journal article,Sassoon H.,,,,Kenya Past and Present,1978-01-01,,9,,,,33-37,,,,None,,,,,None,,,,,None,2024-05-27,,,eaa29dbb-8e69-49ee-b59e-199f258d9e10
Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,,,,2024-05-27,,,,None,,,,INFO-00000194,,None,,Journal article,Wilson T. h.,,,,Kenya Past and Present,1979-01-01,,10,,,,7-16,,,,None,,,,,None,,,,,None,2024-05-27,,,f81705f5-01bd-47cd-827d-ba3990bf108f
The Monumental Architecture and Archaeology of the Central and Southern Kenya Coast,,,,2024-05-27,,,,National Museums of Kenya,,,,INFO-00000195,,None,,Book,Wilson T. h.,,,,None,1980-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,c03c364e-c14f-4f4f-ad4a-0d02afb98711
The Coastal Town of Jumba La Mtwana,,,,2024-05-27,,,,Museums of Kenya/friends of Fort Jesus,,,,INFO-00000196,,None,,Book,Sassoon H.,,,,None,1981-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,19fa2e6c-bd44-46ee-a146-4b52210121de
Settlement Patterns on the East African Coast C. Ad 800-1900,,,,2024-05-27,,,,None,,,,INFO-00000197,,None,,Book section,Allen J. d. v.,,,,Proceedings of the 8th Panafrican Congress of Prehistory and Quaternary Studies,1980-01-01,,None,,,,361-363,,,,None,,,,,None,,,,,None,2024-05-27,,,4195bcd6-1276-4a76-bb1b-e109f35454c4
Swahili Culture and the Nature of East Coast Settlement,,,,2024-05-27,,,,None,,,,INFO-00000198,,None,,Journal article,Allen J. d. v.,,,,International Journal of African Historical Studies,1981-01-01,,None,,,,306-334,,,,14,,,,,None,,,,,None,2024-05-27,,,f859e440-6471-4690-b63d-f1a36fb3efc9
Fort Jesus (9th edition),,,,2024-05-27,,,,National Museum of Kenya,,,,INFO-00000199,,None,,Book,Kirkman J.,,,,None,1981-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,6a9db39f-339f-4a96-8b38-30a2bb240e66
Fort Jesus ; a Portuguese Fortress on the East African Coast,,,,2024-05-27,,,,Clarendon Press,,,,INFO-00000200,,None,,Book,Kirkman J. s.,,,,None,1974-01-01,,None,,,,None,,,,None,,,,,None,,,,,None,2024-05-27,,,10875214-96f2-408c-b571-a1ecd85bab85
Reconnaissance Dans La Vallée De La Falémé (Sénégal oriental): La 15ème Année De Recherche Du Programme International « Peuplement Humain Et Paléoenvironnement En Afrique De L Ouest »,,,,2024-06-09,,,,None,,,,INFO-00000201,,None,,Journal article,Huysecom Eric ; Jeanbourquin Chrystel ; Mayor Anne ; Chevrier Benoît ; Serge Loukou ; Canetti Marie ; Diallo Mamoudou ; Bocoum Hamady ; Guèye Ndèye ; Hajdas Irka ; Lespez Laurent ; Rasse m.,,,,Jahresbericht Slsa,2013-01-01,,None,,,,None,,,,2012,,,,,None,,,,,None,2024-06-09,,,ec9f3e19-48b5-44b1-8277-05fbafbe55b3
Fort Sites of East Bukusu Kenya,,,,2024-07-09,None,,,None,,None,,INFO-00000202,,None,,Journal article,Scully R t K,,,None,Azania: Archaeological Research in Africa,1969-01-01,,None,None,English,,105-114,,,,4,None,None,None,None,None,,None,None,,Doi: 10. 1080/00672706909511510,2024-07-09,,None,85a01c5f-f112-4ba7-864d-6e4d693055c1
Nineteenth Century Settlement Sites and Related Oral Traditions from the Bungoma Area Western Kenya,,,,2024-07-09,,,,None,,,,INFO-00000203,,https://www.africabib.org/htp.phpRID=188851852,,Journal article,Scully R t K,,,,Azania: Archaeological Research in Africa,1979-01-01,,None,,,,81-96,,,,14,,,,,None,,,,,None,2024-07-09,,,2bfb2c1b-4af5-4b67-948a-df7fbfe042b0
Excavations at Mlambalasi Rockshelter: a Terminal Pleistocene to Recent Iron Age Record in Southern Tanzania,,,,2024-07-31,None,,,None,,None,,INFO-00000204,,http://link.springer.com/10.1007/s10437-017-9253-3,,Journal article,Biittner K. M. ; Sawchuk E. A. ; Miller J. M. ; Werner J. J. ; Bushozi P. M. ; Willoughby P. R.,,,None,African Archaeological Review,2017-06-01,,2,None,English,,275-295,,,,34,None,None,None,None,None,,None,None,,10. 1007/s10437-017-9253-3,2024-07-31,,None,a9191a53-3b49-44c0-9cb9-85481a403016
Malindi,Topographic,,None,2024-07-30,,,Kenya Goverment,Survey of Kenya,,,1: 50000,INFO-00000205,,None,,Map,Survey of Kenya,None,None,,None,1958-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2024-08-01,None,,f110e6ea-228f-437e-b9f8-602804e2eb85
Neolithic Pottery Traditions from the Islands the Coast and the Interior of East Africa,,,,2024-07-31,,,,None,,,,INFO-00000206,,http://link.springer.com/10.1023/A:1024426830217,,Journal article,Chami Felix A. ; Kwekason Amandus,,,,African Archaeological Review,2003-01-01,,2,,,,65-80,,,,20,,,,,None,,,,,10. 1023/a: 1024426830217,2024-07-31,,,03ebc398-831b-4c64-93db-dc20a5601854
The Tanzanian Coast in the First Millenium Ad: an Archaeology of the Iron-working Farming Communities,,,,2024-07-31,,,,Societas Archaeologica Upsaliensis,,,,INFO-00000207,,None,,Book,Chami Felix ; Lindahl Anders ; Societas Archaeologica Upsaliensis,,,,None,1994-01-01,,None,,,,None,,,,None,,,,,978-91-506-1037-6,,,,,None,2024-07-31,,,9cea6bbf-8133-4c32-907c-f7a5332aabe3
Structures and Settlement Organization at Kua Ruins Juani (Mafia Archipelago Tanzania),,,,2024-07-31,None,,,None,,None,,INFO-00000208,,http://link.springer.com/10.1007/s10437-019-09333-1,,Journal article,Christie Annalisa C.,,,None,African Archaeological Review,2019-06-01,,2,None,English,,249-269,,,,36,None,None,None,None,None,,None,None,,10. 1007/s10437-019-09333-1,2024-07-31,,None,b6863299-8467-481c-a5cf-631879d8c406
Ceramics and the Early Swahili: Deconstructing the Early Tana Tradition,,,,2024-07-31,None,,Http: //www. springer. com/tdm,None,,None,,INFO-00000209,,http://link.springer.com/10.1007/s10437-011-9104-6,,Journal article,Fleisher Jeffrey ; Wynne-jones Stephanie,,,None,African Archaeological Review,2011-12-01,,4,None,English,,245-278,,,,28,None,None,None,None,None,,None,None,,10. 1007/s10437-011-9104-6,2024-07-31,,None,4ff01fad-91d4-4a74-ba5d-990fa479c8cd
Acheulean Sites at Makuyuni (Lake Manyara Tanzania): Results of Archaeological Fieldwork and Classification of the Lithic Assemblages,,,,2024-07-31,None,,,None,,None,,INFO-00000210,,http://link.springer.com/10.1007/s10437-018-9284-4,,Journal article,Giemsch Liane ; Hertler Christine ; Märker Michael ; Quénéhervé Geraldine ; Saanane Charles ; Schrenk Friedemann,,,None,African Archaeological Review,2018-03-01,,1,None,English,,87-106,,,,35,None,None,None,None,None,,None,None,,10. 1007/s10437-018-9284-4,2024-07-31,,None,f6430e1d-02b1-4035-9fb5-ce9f2ddb0d39
Animal Disease Challenges to the Emergence of Pastoralism in Sub-saharan Africa,,,,2024-07-31,,,,None,,,,INFO-00000211,,http://link.springer.com/10.1023/A:1006601020217,,Journal article,Gifford-gonzalez Diane,,,,African Archaeological Review,2000-01-01,,3,,,,95-139,,,,17,,,,,None,,,,,10. 1023/a: 1006601020217,2024-07-31,,,e8110975-cdd4-4ac1-b494-a951d770615a
Potsherds Coated with Lime Mortar Along the East African Coast: their Origin and Significance,,,,2024-07-31,None,,,None,,None,,INFO-00000212,,http://link.springer.com/10.1007/s10437-015-9196-5,,Journal article,Ichumbaki Elgidius B. ; Pollard Edward,,,None,African Archaeological Review,2015-09-01,,3,None,English,,443-463,,,,32,None,None,None,None,None,,None,None,,10. 1007/s10437-015-9196-5,2024-07-31,,None,5a5819ef-951c-47a2-a55b-2a23a68c9bce
Iron Production in North Pare Tanzania: Archaeometallurgical and Geoarchaeological Perspectives on Landscape Change,,,,2024-07-31,None,,,None,,None,,INFO-00000213,,http://link.springer.com/10.1007/s10437-018-9312-4,,Journal article,Iles L. ; Stump D. ; Heckmann M. ; Lang C. ; Lane P. J.,,,None,African Archaeological Review,2018-12-01,,4,None,English,,507-530,,,,35,None,None,None,None,None,,None,None,,10. 1007/s10437-018-9312-4,2024-07-31,,None,9c69bebe-eb47-4b15-a882-31ac4f25972e
Jack of Two Trades Master of both: Smelting and Healing in Ufipa Southwestern Tanzania,,,,2024-07-31,None,,Http: //www. springer. com/tdm,None,,None,,INFO-00000214,,http://link.springer.com/10.1007/s10437-011-9099-z,,Journal article,Mapunda Bertram,,,None,African Archaeological Review,2011-09-01,,3,None,English,,161-175,,,,28,None,None,None,None,None,,None,None,,10. 1007/s10437-011-9099-z,2024-07-31,,None,8b5e0a70-0505-461b-a6ff-e8d5451dd89a
Characterizing Archaeological Assemblages from Eastern Lake Natron Tanzania: Results of Fieldwork Conducted in the Area,,,,2024-07-31,None,,,None,,None,,INFO-00000215,,http://link.springer.com/10.1007/s10437-014-9170-7,,Journal article,Masao Fidelis t.,,,None,African Archaeological Review,2015-03-01,,1,None,English,,137-162,,,,32,None,None,None,None,None,,None,None,,10. 1007/s10437-014-9170-7,2024-07-31,,None,835554f0-3783-40ad-9109-8619b4f681c7
Zooarchaeology of the Middle Stone Age in Magubike Rockshelter Iringa Region Tanzania,,,,2024-07-31,None,,,None,,None,,INFO-00000216,,https://link.springer.com/10.1007/s10437-021-09429-7,,Journal article,Masele Frank ; Willoughby Pamela Rae,,,None,African Archaeological Review,2021-06-01,,2,None,English,,275-295,,,,38,None,None,None,None,None,,None,None,,10. 1007/s10437-021-09429-7,2024-07-31,,None,bdf61f4c-da4a-48f9-8558-214a6f419f34
The Transition from the Later Stone Age to Iron Age in Kondoa Central Tanzania,,,,2024-07-31,None,,Http: //www. springer. com/tdm,None,,None,,INFO-00000217,,http://link.springer.com/10.1007/s10437-013-9141-4,,Journal article,Kessy Emanuel Thomas,,,None,African Archaeological Review,2013-09-01,,3,None,English,,225-252,,,,30,None,None,None,None,None,,None,None,,10. 1007/s10437-013-9141-4,2024-07-31,,None,ba08f428-9f9e-4b9b-8ca7-af2de55acb9d
Nkope: the Early Ironworking Pottery Tradition of Southern Coastal Tanzania,,,,2024-07-31,None,,Http: //www. springer. com/tdm,None,,None,,INFO-00000218,,http://link.springer.com/10.1007/s10437-013-9132-5,,Journal article,Kwekason Amandus P.,,,None,African Archaeological Review,2013-06-01,,2,None,English,,145-167,,,,30,None,None,None,None,None,,None,None,,10. 1007/s10437-013-9132-5,2024-07-31,,None,2e5488da-541c-44a6-8060-2c6c912b126c
