Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Ceramic tradition,"Contentious chronological term referring to a type of pottery characterised by the use of several different wavy line decorations with additional dot marks between them, found both in the Nile Valley and across the wider Sahel-Sahara belt. Assumed to be a successor to the Wavy Line by early researchers (e.g. Arkell), associated with the Khartoum Neolithic vs Khartoum Mesolithic, but proven to be found in Khartoum Mesolithic/Neolithic occupations from beginning to end, and found earlier than the Wavy Line in Sahara-Sahel contexts. Chronological associations have yet to be fully deciphered, but current estimates suggest 10,000BP - 4000 BCE. (Mohammed and Khabir 2003)",Dotted-Wavy-Line (Sudan),,10000,has broader term (has narrower term),BCE,,Primary name,,4000,y-10000,CHRN-00000281,"Sudan, Primary name",Mesolithic (Sudan),, Ritualized Behavior in the Middle Stone Age: Evidence from Rhino Cave. Tsodilo Hills Botswana,BP,,'-4000,6e912138-9563-425d-81d9-834a5d2429d5
Material culture,"Characterised by Incised Wavy Line pottery and distinctive Lunula type pottery decoration. The Dotted Wavy Line decoration is rare but present. Post-holes suggest very light dwellings pointing to a mobile, seasonal presence at some sites.",Mesolithic (Central Sudan),,7000,has broader term (has narrower term),BCE,,Primary name,,5000,'-7000,CHRN-00000283,"Sudan, Primary name",Mesolithic (Sudan),, The Aterian and its Place in the North African Middle Stone Age,BCE,,'-5000,bd33296f-0331-479e-b910-d0cb6f5b4ce8
Material culture,,Mesolithic (Upper Nubia),,9000,has broader term (has narrower term),BCE,,Primary name,,6000,'-9000,CHRN-00000284,"Sudan, Primary name",Mesolithic (Sudan),,,BCE,,'-6000,0a2d8527-18f8-4287-a465-4612d3f827f3
Material culture,Period when pastoralist communities adopted iron technology; there is evidence cattle husbandry and cereal cultivation as well as evidence for the manufacture and use of iron in the form of tuyere and iron slag.,Pastoral Iron Age (Eastern Africa),,800,has broader term (has narrower term),CE,,Primary name,,1300,800,CHRN-00000294,"Eastern Africa, Primary name",Iron Age (Eastern Africa),, The Palaeolithic/Stone Age,CE,,1300,f4762e4c-82d2-4f2a-88f7-e3ce51237395
Archaeological period,"A period when semi-sedentary agro-pastoralists arrived at the coast and established wattle and daub settlements containing large amounts of Kwale and Tana (TIW) wares and evidence of iron production. Settlements such as Shanga, Manda and Kilwa were established at this time. ",Middle Iron Age (Eastern Africa),,1400,has broader term (has narrower term),BP,,Primary name,,1000,1400,CHRN-00000302,"Eastern Africa, Primary name",Iron Age (Eastern Africa),, The Neolithic of the Middle Nile Region: an Archeology of Central Sudan and Nubia,BP,,1000,a00b8d06-60c5-4420-987f-98b370757739
Archaeological period,"A period in southern Africa that marks the earliest phase of the Iron Age characterised by non-stratified communities. Several streams including the Eastern Stream (Kwale Branch) of the Urwewe Tradition in East Africa, the Central Stream or Nkope branch and the Western Stream (Kalundu Branch). The streams form broad distinctions between different ceramic assemblages and are generally associated with the emergence of the earliest farming communities. In general, this period is marked by the appearance of distinctive pottery, metal working, livestock-keeping and the cultivation of sorghum and milllet. Communities would have followed familiar habitats including regions with a relatively high rainfall (>400mm), and along predominantly open woodland savannah ecotones, preferably fertile river valley bottoms, and littoral patchy forested corridors. ",Early farming community period (Southern Africa),,200,has broader term (has narrower term),CE,,Primary name,,900,200,CHRN-00000320,"Southern Africa, Primary name",Farming community period (Southern Africa),, Saloum Delta,CE,,900,e378a728-15d0-46a4-a2b9-9162549da667
Archaeological period,The period is marked by the beginning of the southern Africa's incorporation into the expanding economic system including agropastoral craft production and commercial connections with the Indian Ocean and Central Africa leading to greater socio-political complexity and the emergence of early urbanism and statehood. Late Farming Communities in southern Africa begins approximately 1000 CE and continues into the historic period. Linguistic evidence suggests that ancestors of present-day language or dialect groups in southern Africa date from the early second millennium AD. Examples include the Shona of the Zimbabwe plateau and adjacent lowlands in Mozambique and the Sotho/Tswana and Nguni south of the Limpopo River. ,Late farming community period (Southern Africa),,900,has broader term (has narrower term),CE,,Primary name,,1800,900,CHRN-00000337,"Southern Africa, Primary name",Farming community period (Southern Africa),, Saloum Delta,CE,,1800,7e3aeb4d-5273-4eb0-a42b-a3d1d6eff5f0
Material culture,,Lower Casamance habitat sites,,None,has broader term (has narrower term),CE,,Primary name,,1500,..,CHRN-00000370,"Senegal, Primary name",Iron Age (Senegal),, The Archaeology of Post Medieval Timbuktu,,,1500,acacc1b1-368d-4d5c-8d19-1cf89666ea3e
Material culture,,Sine Saloum habitat sites,,250,has broader term (has narrower term),CE,,Primary name,,1700,250,CHRN-00000373,"Senegal, Primary name",Iron Age (Senegal),,,CE,,1700,742d531e-e8df-4daf-a4f8-c2df141e62fe
Material culture,"In Senegal, megaliths are distributed along the Gambia River, covering an area of about 38,000 km². The structures are constituted by frontal monoliths, made of laterite, which are located to the east of funerary monuments of various forms. They can be circles of standing stones, stone circles or stone mounds. About 29,000 standing stones make up a little less than 17,000 monuments spread over nearly 2,000 sites. It is generally accepted that they were built between the 7th and 15th centuries AD. (Delvoye 2018)",Megalithic (Senegal),,600,has broader term (has narrower term),CE,,Primary name,,1500,600,CHRN-00000395,"Senegal, Primary name",Iron Age (Senegal),, Variation in the Early Iron Age of Southeastern Botswana.,CE,,1500,a30174e2-1069-49b2-abe2-b5b3dbe67e6e
Material culture,The chronological framework of the construction of the shell midden sites of the Senegalese coastline ranges from the Neolithic around 3500 BC-2000 BC (Khant Kayar) to the Iron Age (around 400 BC for the sites of the Saloum and Gambia deltas) to the historical (16th century) and contemporary periods. Further south in Casamance the excavation of the Niamoun and Samatit shell mounds revealed a human sequence from 200 BC to the 18th century. (Diouf 2019),Shell midden phase (Senegal),,200,has broader term (has narrower term),CE,,Primary name,,1900,'-200,CHRN-00000403,"Senegal, Primary name",Iron Age (Senegal),, Takwa ; an Ancient Swahili Settlement of the Lamu Archipelago,BCE,,1900,9a467be9-173f-41cc-bd7c-3a55f30072ce
Material culture,"In the 1980s, the inventories of Martin and Becker (1984) located the metallurgical remains between the Ferlo and the Senegal River valley. However, research over the past two decades has found metallurgical remains throughout the country. ",Metallurgical remains zone,,800,has broader term (has narrower term),CE,,Primary name,,1750,'-800,CHRN-00000411,"Senegal, Primary name",Iron Age (Senegal),,,BCE,,1750,4f3b7390-1714-4f97-9b3d-ed09428a0224
,,Megalith (Central Gambia),,640,has broader term (has narrower term),CE,,Primary name,,1030,640,CHRN-00000417,"Gambia, Primary name",Iron Age (Gambia),, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,CE,,1030,a23b7631-662d-4b6c-8c4a-c0504f7ef0f7
,,Shell middens (Central Gambia),,450,has broader term (has narrower term),CE,,Primary name,,1500,450,CHRN-00000418,"Gambia, Primary name",Iron Age (Gambia),, Preliminary Archaeological Investigations at Phalatswe (Old Palapye) Central District Botswana: the 1995 Season,BCE,,1500,d4c37cd7-f3df-4c66-b677-d48a72ed4136
Material culture,"In the Middle Pre-Kerma, a distinctive kind of pottery is found in high numbers in the region of Kerma (Upper Nubia). It follows a hiatus of ca. 1000 years.",Middle Pre-Kerma,,3000,has broader term (has narrower term),BCE,,Primary name,,2700,'-3000,CHRN-00000423,"Sudan, Primary name",Pre-Kerma,,,BCE,,2700,3b411fef-815f-4611-acd6-23076f54f504
Material culture,The Early Kerma is the continuation of settlement which started in the Pre-Kerma Period. The religious quarter and the eastern necropolis start developing.,Early Kerma,,not before 2500,has broader term (has narrower term),BCE,,Primary name,,2050,'-2500,CHRN-00000426,"Sudan, Primary name",Kingdom of Kerma,,,BCE,,2050,ae916cb5-cfd5-431b-bd96-7d6e6d9c1396
Material culture,"In the Middle Kerma, fortified walls, palaces and princely tombs were erected. The most important sites are Sai and Kerma. Also known as Kerma Moyen or very occasionally Old Kush II.",Middle Kerma,,2050,has broader term (has narrower term),BCE,,Primary name,,1750,'-2050,CHRN-00000427,"Sudan, Primary name",Kingdom of Kerma,,,BCE,,'-1750,a642fc35-526c-44ca-aa0e-359c348e81c8
Material culture,Late Kerma is a period of transition where the culture of Kerma disappears after Nubia was conquered by Egypt.,Late Kerma,,1550,has broader term (has narrower term),BCE,,Primary name,,1450,'-1550,CHRN-00000429,"Sudan, Primary name",Kingdom of Kerma,,,BCE,,'-1450,8be494e7-82c0-4ac8-ba77-aae9ff023eb7
Material culture,A distinctive cultural and political phase within the Kingdom of Kush when changes and developments in different took place.,Meroitic,,300,has broader term (has narrower term),CE,,Primary name,,350,'-300,CHRN-00000433,"Sudan, Primary name",Kingdom of Kush,,,BCE,,350,1d126626-b84a-4488-af66-98054bb7b642
Material culture,A period when the emergence of a material culture and burial customs that differ from that of the Meroitic happened during its decline.,Post Meroitic,,350,has broader term (has narrower term),CE,,Primary name,,600,350,CHRN-00000434,"Sudan, Primary name",Kingdom of Kush,,,CE,,600,265a7b1f-6310-4e2e-8fa9-6920b2bd1766
Material culture,"Pastoralists in Lower Nubia with a distinct material culture, most conspicuous through cemeteries, pots, and decorated bodies. They are believed to have formed an identity in contrast to contemporary Egyptians. (Gatto 2021)",C-Group (Lower Nubia),,2500,has broader term (has narrower term),BCE,,Primary name,,1500,'-2500,CHRN-00000437,"Sudan, Primary name",Bronze Age (Lower Nubia),, Notes on the Mocloutsie Cemetery Near Bobonong 1890s: a Re-appraisal,BCE,,'-1500,3c41bb4d-7303-46ef-96a2-57df8065e10f
Polity,"A kingdom centred on Old Dongola in the Dongola Reach in Upper Nubia, which became dominant over the rest of Nubia from around the 7th to 14th centuries AD. Located in the middle of the ‘Nubian’ kingdoms.",Makuria (Upper Nubia),,650,has broader term (has narrower term),CE,,Primary name,,1365,650,CHRN-00000441,"Sudan, Primary name",Medieval (Sudan),, Finding Russia in Botswana: Aids Archaeology and the Power of the Ancestors,CE,,1365,4eba701d-8e32-443d-90e0-c81f32a773b9
Polity,"A kingdom in southern Central Sudan, centering on Soba near the Nile confluence. Southernmost of the 'Nubian' kingdoms. Also known in Arabic as ‘Alwa’. ",Alodia (Central Sudan),,930,has broader term (has narrower term),CE,,Primary name,,1100,930,CHRN-00000442,"Sudan, Primary name",Medieval (Sudan),, Finding Russia in Botswana: Aids Archaeology and the Power of the Ancestors,CE,,1100,b2b5fb10-dfb9-4fb6-b073-8e5c72e12879
Polity,The term covers the period in Nubia and Sudan from AD 850-1100. It is subdivided into an earlier and a later phase designated Classic Christian Period I (AD 850-1000) and Classic Christian Period II (AD 1000-1100) respectively.,Classic Christian Period (Nubia and Sudan),,850,has broader term (has narrower term),CE,,Primary name,,1100,850,CHRN-00000444,"Sudan, Primary name",Medieval (Sudan),,,CE,,1100,1dd9a43b-1d13-4c10-a2b2-07c80b613264
Polity,The term covers the period in Nubia and Sudan from AD 1100-1400. It is subdivided into and earlier and later phase designated Late Christian Period I (AD 1100-1300) and Late Christian Period II (AD 1300-1400) respectively.,Late Christian Period (Nubia and Sudan),,1100,has broader term (has narrower term),CE,,Primary name,,1400,1100,CHRN-00000445,"Sudan, Primary name",Medieval (Sudan),,,CE,,1400,cf800476-1db2-4db3-adc4-672219c373de
Polity,,Christian Kingdoms of Nubia,,500,has broader term (has narrower term),CE,,Primary name,,1500,500,CHRN-00000447,"Sudan, Primary name",Medieval (Sudan),,,CE,,1500,9b4d8490-acf9-47e8-bcc3-1ad31ababcfc
Polity,"A small Christian kingdom based at Jebel Adda whose rulers, until c.1365, were lesser kings under broader rule of the kingdom of Makuria.",Kingdom of Dotawo,,1100,has broader term (has narrower term),CE,,Primary name,,1490,1100,CHRN-00000448,"Sudan, Primary name",Medieval (Sudan),, Rock Engravings from Mamuno,CE,,1490,3af6272d-f041-4956-b363-6a825cc84482
Material culture,"The Early Aksumite phase (c. 50 BC–AD 150). The palaces at Aksum show a progressive increase in size from this period. In the Early Aksumite phase, the shaft tombs were covered by stone platforms and were associated with carefully carved stelae. There is a continuity in material culture (particularly ceramics and funerary stelae) between the Proto-Aksumite and Early Aksumite phases at Aksum. Finally, imported artefacts, mainly glass vessels and beads, from Aksum point to contacts with Egypt, Gaul, India and Nubia in the Early Aksumite phase. Early Aksumite ceramic assemblages are generally characterised with orange basins with a ledge rim and foot-rings, footwashing basins, square basins with architectural decorations, globular jars with a high neck, small bowls with foot-rings and a ledge rim, and cups with a small vertical strap handle, sometime decorated with vertical corrugations on the whole surface of bowls and jars.",Early Aksumite phase,,50,has broader term (has narrower term),CE,,Primary name,,150,'-50,CHRN-00000452,"Ethiopia, Primary name",Aksumite culture,,,BCE,,150,7940e936-4f0f-45fc-b3b8-3790c4d5a9d0
